image_id,question_id,true_answer,model_answer,question,field,image_number
V2_1,1,Không xác định,Oxy Già,Đây là sản phẩm gì?,Tên sản phẩm,1
V2_1,2,Không xác định,"Dung dịch sát khuẩn, khử trùng",Đây là loại sản phẩm gì?,Loại sản phẩm,1
V2_1,3,Nhãn màu xanh trắng - lọ màu trắng,Trắng,Sản phẩm này có màu như thế nào?,Màu sắc,1
V2_1,4,Không xác định,"Sát khuẩn, khử trùng",Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,1
V2_2,1,Không xác định,IODOPRA,Hãy cho tôi biết tên sản phẩm trong ảnh?,Tên sản phẩm,2
V2_2,2,Không xác định,Thuốc sát trùng,Sản phẩm trong ảnh thuộc nhóm nào?,Loại sản phẩm,2
V2_2,3,Nhãn màu xanh trắng - lọ màu trắng,Trắng,Sản phẩm này có màu như thế nào?,Màu sắc,2
V2_3,1,Không xác định,Blackmores Vitamins,Sản phẩm này được gọi là gì?,Tên sản phẩm,3
V2_3,2,Không xác định,Vitamin,Có thể cho biết loại của sản phẩm này được không?,Loại sản phẩm,3
V2_3,3,Nhãn màu trắng - lọ màu nâu,Nâu,Sản phẩm này có màu như thế nào?,Màu sắc,3
V2_3,5,Không xác định,10/27,Hạn sử dụng của sản phẩm trong ảnh là gì?,Hạn sử dụng,3
V2_4,1,Không xác định,Blackmores Vitamins,Có thể cho biết tên của sản phẩm này không?,Tên sản phẩm,4
V2_4,2,Không xác định,Capsule,Có thể cho biết loại của sản phẩm này được không?,Loại sản phẩm,4
V2_4,3,Nhãn màu trắng - lọ màu nâu,Nâu,Sản phẩm trong ảnh có màu gì?,Màu sắc,4
V2_4,4,Không xác định,Uống 1 viên mỗi ngày,Hãy cho tôi biết cách sử dụng sản phẩm này?,Công dụng/Hướng dẫn sử dụng,4
V2_5,1,Lyys Store,Nước lau mắt kính,Sản phẩm này có tên là gì?,Tên sản phẩm,5
V2_5,2,Nước lau mắt kính,Nước lau kính,Phân loại của sản phẩm này là gì?,Loại sản phẩm,5
V2_5,3,Nhãn vàng nhạt - chai màu trắng,"Trắng, be",Sản phẩm này có đặc điểm gì về màu sắc?,Màu sắc,5
V2_5,4,Lau kính,Không xác định,Cách sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,5
V2_6,2,Không xác định,Chất làm sạch,Sản phẩm này được phân loại như thế nào?,Loại sản phẩm,6
V2_6,3,Nhãn vàng nhạt - chai màu trắng,Trắng và be,Sản phẩm này màu gì?,Màu sắc,6
V2_6,4,"Có thể mở rộng sử dụng cho các thiết bị điện tử điện thoại, máy tính, laptop",Xịt lên bề mặt cần làm sạch,Hãy cho tôi biết cách sử dụng sản phẩm này?,Công dụng/Hướng dẫn sử dụng,6
V2_7,2,Không xác định,Dung dịch vệ sinh mắt kính,Có thể cho biết loại của sản phẩm này được không?,Loại sản phẩm,7
V2_7,3,Nhãn vàng nhạt - chai màu trắng,Trắng và be,Sản phẩm này màu gì?,Màu sắc,7
V2_7,4,Khuyên dùng kèm khăn lau kính chuyên dụng; Giúp mắt kính sáng đẹp; Giúp tầm nhìn rõ nét; Tạo lớp màng bảo vệ mắt kính,Khuyên dùng kèm khăn lau kính chuyên dụng,Hướng dẫn sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,7
V2_8,1,BLACKMORE,Blackmores Vitamin E 1000,Sản phẩm này được gọi là gì?,Tên sản phẩm,8
V2_8,2,VITAMIN E 1000,Vitamin,Có thể cho biết loại của sản phẩm này được không?,Loại sản phẩm,8
V2_8,3,Nhãn màu trắng - lọ màu nâu,"Trắng, đỏ, nâu",Sản phẩm này màu gì?,Màu sắc,8
V2_9,1,H'REN,H'REN Lõi Hạnh Nhân (Almond Nuts),Sản phẩm này được gọi là gì?,Tên sản phẩm,9
V2_9,2,Lõi hạnh nhân,Thực phẩm (Hạt),Sản phẩm này thuộc loại gì?,Loại sản phẩm,9
V2_9,3,Nhãn vàng nâu - hộp trong suốt,Nâu,Sản phẩm này có đặc điểm gì về màu sắc?,Màu sắc,9
V2_10,1,Không xác định,Hạnh nhân,Sản phẩm này được gọi là gì?,Tên sản phẩm,10
V2_10,2,Không xác định,"Thực phẩm, hạt",Có thể cho biết loại của sản phẩm này được không?,Loại sản phẩm,10
V2_10,3,Nhãn vàng nâu - hộp trong suốt,Nâu,Màu của sản phẩm là màu gì?,Màu sắc,10
V2_10,4,Ăn,Không xác định,Hãy cho tôi biết cách sử dụng sản phẩm này?,Công dụng/Hướng dẫn sử dụng,10
V2_11,1,Không xác định,Hạnh nhân.,Đây là sản phẩm gì?,Tên sản phẩm,11
V2_11,2,Lõi hạnh nhân,Các loại hạt.,Sản phẩm này thuộc loại nào?,Loại sản phẩm,11
V2_11,3,Nhãn vàng nâu - hộp trong suốt,Nâu.,Bạn có thể mô tả màu sắc của sản phẩm không?,Màu sắc,11
V2_11,4,"Ăn trực tiếp, dùng làm nguyên liệu để làm bánh hoặc dùng tùy thích","Ăn trực tiếp, làm nguyên liệu làm bánh.",Sản phẩm này dùng để làm gì?,Công dụng/Hướng dẫn sử dụng,11
V2_11,5,Xem trên bao bì sản phẩm,Xem trên bao bì sản phẩm.,Hạn sử dụng của sản phẩm trong ảnh là gì?,Hạn sử dụng,11
V2_12,1,Vĩnh Hảo,Nước khoáng Vĩnh Hảo,Sản phẩm này có tên là gì?,Tên sản phẩm,12
V2_12,3,Nhãn xanh dương - chai trong suốt,Trong suốt,Sản phẩm này có màu như thế nào?,Màu sắc,12
V2_12,4,Uống - Giúp bổ sung khoáng chất từ thiên nhiên cơ thể cần mỗi ngày,Bổ sung khoáng chất,Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,12
V2_13,1,Vĩnh Hảo,Nước uống đóng chai Vĩnh Hảo không ga,Sản phẩm này có tên là gì?,Tên sản phẩm,13
V2_13,3,Nhãn xanh dương - chai trong suốt,Trong suốt,Sản phẩm này có màu như thế nào?,Màu sắc,13
